gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,1,2,-1.1616939352451685,-0.9950344003129811,0
1,0,0,0,0.06430268518835193,1,0,0,2,0,2,0,0,0,1,0,3,-0.2608779199297493,-0.1531637087223939,0
1,0,0,0,-1.2395040756535771,1,0,0,2,2,0,0,0,0,0,1,3,-0.3639232943754246,-0.9604578443311598,1
1,0,0,0,0.512486259227765,0,1,0,2,0,2,2,0,0,1,0,0,-0.747850415293989,-0.1676478854299767,0
0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,0,0,0,1,2,0.19617817640187488,-0.945774951784601,1
0,0,0,0,-0.9950403079957154,1,2,1,0,0,2,0,2,2,0,1,2,1.1584890119510036,-0.6561797357836007,1
1,0,0,1,-0.42462485012737144,1,2,1,0,2,0,0,2,0,0,1,1,0.8078023344020117,-0.14260968971900273,0
0,0,0,0,-0.9135523854430948,0,1,0,2,0,0,0,0,0,0,0,3,-1.1650179795821258,-0.8748996358831668,0
0,0,1,0,-0.18016108246950976,1,2,1,0,0,2,2,2,2,0,1,2,1.3296772953043026,0.2875880221263381,1
1,0,0,1,1.2051336009250397,1,0,0,2,2,0,0,0,0,1,0,0,-0.28747027462540753,0.5290940050951504,0
1,0,1,1,-0.791320501614164,1,0,0,2,0,0,0,0,0,0,1,3,-0.4935610235167579,-0.7214689286560434,0
1,0,0,0,-0.6690886177852331,1,0,2,1,1,1,1,1,1,2,0,1,-1.5240147679735105,-0.8743255679039028,0
1,0,1,0,1.0421577558197987,1,2,1,0,0,2,0,2,2,1,0,1,1.181757322309704,1.5619747770169854,0
1,0,0,0,0.6754621043330061,1,2,1,0,2,2,0,2,2,0,1,0,1.2931128075977727,1.2356392103430927,1
1,0,0,0,-0.3023929662984406,1,0,1,2,0,2,2,2,2,0,1,2,1.3529456056630036,0.1564797274775168,0
